#{"t_start": 1654505085.6999848, "env_id": "Eplus-5Zone-mixed-continuous-v1"}
r,l,t
-55548.837158,35040,38.136731
-59734.453919,35040,73.438611
-59600.556003,35040,108.51632
-59414.208256,35040,142.841177
-59110.019322,35040,176.878019
-58226.856973,35040,211.6176
-57362.990985,35040,245.93752
-57400.81225,35040,279.857246
-55013.381673,35040,314.322864
-49608.151257,35040,349.448524
-50915.076074,35040,384.427238
-49901.317581,35040,419.314435
-50495.215068,35040,454.231516
-49250.176066,35040,489.854372
