#{"t_start": 1654503364.125695, "env_id": "Eplus-5Zone-mixed-continuous-v1"}
r,l,t
-57777.697042,35040,60.919921
-48164.511512,35040,122.994414
-46960.375986,35040,184.647626
-47175.850633,35040,248.327012
-46876.665971,35040,327.062602
-46935.653692,35040,418.83259
-47035.696604,35040,509.76718
-46683.953677,35040,602.522587
-47294.193237,35040,694.356519
-47230.069064,35040,760.139451
-47240.472667,35040,824.408083
-47177.378431,35040,889.028435
-47587.096089,35040,953.606053
-47727.209966,35040,1018.870302
