#{"t_start": 1654504523.0340679, "env_id": "Eplus-5Zone-mixed-continuous-v1"}
r,l,t
-50302.306708,35040,37.842482
-48187.0381,35040,73.289437
-47259.051427,35040,108.541681
-47081.533469,35040,143.230638
-47682.004875,35040,177.16003
-47446.838508,35040,210.588097
-48906.526339,35040,245.102627
-46848.065616,35040,279.12845
-47482.979262,35040,312.26673
-47352.55869,35040,345.477828
-47634.71488,35040,380.278207
-49160.068419,35040,418.07249
-48189.407924,35040,455.746547
-46381.884894,35040,492.040573
