#{"t_start": 1654502009.7453241, "env_id": "Eplus-5Zone-mixed-continuous-v1"}
r,l,t
-49244.028971,35040,36.461181
-48158.651912,35040,72.303173
-47863.421357,35040,106.080573
-48445.27608,35040,140.956184
-47688.512094,35040,176.818827
-47258.711437,35040,211.799287
-47830.255219,35040,246.37663
-48372.56574,35040,281.355732
-48785.114119,35040,316.301827
-48273.501997,35040,354.110939
-48210.924569,35040,386.863936
-47739.433992,35040,419.511588
-46862.164187,35040,452.744311
-47060.401818,35040,486.325056
